,Country,Name,Manufacturer,cores,Rmax,Rpeak,Power,link
59,United States,Theta, Cray/HPE,"<td style=""text-align: right;"">280,320</td>","<td style=""text-align: right;"">6,920.9</td>","<td style=""text-align: right;"">11,661.3</td>",<td></td>,/system/178926
60,Russia,Christofari, Nvidia,"<td style=""text-align: right;"">99,600</td>","<td style=""text-align: right;"">6,669.0</td>","<td style=""text-align: right;"">8,789.8</td>",<td></td>,/system/179778
61,Japan,Flow, Fujitsu,"<td style=""text-align: right;"">110,592</td>","<td style=""text-align: right;"">6,617.8</td>","<td style=""text-align: right;"">7,785.7</td>",<td></td>,/system/179808
62,Spain,MareNostrum, Lenovo,"<td style=""text-align: right;"">153,216</td>","<td style=""text-align: right;"">6,470.8</td>","<td style=""text-align: right;"">10,296.1</td>","<td>1,632</td>",/system/179067
63,United States,ONYX, Cray/HPE,"<td style=""text-align: right;"">211,816</td>","<td style=""text-align: right;"">6,316.0</td>","<td style=""text-align: right;"">7,455.9</td>",<td></td>,/system/179100
64,Germany,JUWELS Module 1, Atos,"<td style=""text-align: right;"">114,480</td>","<td style=""text-align: right;"">6,177.7</td>","<td style=""text-align: right;"">9,891.1</td>","<td>1,361</td>",/system/179424
65,Japan,HPE SGI 8600, HPE,"<td style=""text-align: right;"">100,096</td>","<td style=""text-align: right;"">6,162.0</td>","<td style=""text-align: right;"">8,439.6</td>",<td></td>,/system/179896
66,Japan,SQUID - CPU Nodes, NEC,"<td style=""text-align: right;"">115,520</td>","<td style=""text-align: right;"">6,105.1</td>","<td style=""text-align: right;"">8,871.9</td>","<td>1,222</td>",/system/179934
67,Germany,Lise, Atos,"<td style=""text-align: right;"">121,920</td>","<td style=""text-align: right;"">6,048.3</td>","<td style=""text-align: right;"">8,930.9</td>",<td></td>,/system/179702
68,Czechia,"Karolina, GPU partition", HPE,"<td style=""text-align: right;"">64,960</td>","<td style=""text-align: right;"">6,048.0</td>","<td style=""text-align: right;"">8,645.2</td>",<td>297</td>,/system/179961
69,United States,Pleiades, HPE,"<td style=""text-align: right;"">241,108</td>","<td style=""text-align: right;"">5,951.6</td>","<td style=""text-align: right;"">7,107.1</td>","<td>4,407</td>",/system/177259
70,Germany,Emmy+, Atos,"<td style=""text-align: right;"">120,296</td>","<td style=""text-align: right;"">5,948.8</td>","<td style=""text-align: right;"">8,911.3</td>",<td></td>,/system/179883
71,United States,Aitken, HPE,"<td style=""text-align: right;"">175,648</td>","<td style=""text-align: right;"">5,795.3</td>","<td style=""text-align: right;"">8,329.7</td>","<td>1,401</td>",/system/179959
72,United States,Sawtooth, HPE,"<td style=""text-align: right;"">99,792</td>","<td style=""text-align: right;"">5,780.6</td>","<td style=""text-align: right;"">9,220.6</td>","<td>1,432</td>",/system/179708
73,Japan,Cray XC50, Cray Inc./Hitachi,"<td style=""text-align: right;"">135,792</td>","<td style=""text-align: right;"">5,730.5</td>","<td style=""text-align: right;"">9,125.2</td>","<td>1,354</td>",/system/179414
74,Japan,Cray XC50, Cray Inc./Hitachi,"<td style=""text-align: right;"">135,792</td>","<td style=""text-align: right;"">5,730.5</td>","<td style=""text-align: right;"">9,125.2</td>","<td>1,354</td>",/system/179415
75,Germany,COBRA, Intel,"<td style=""text-align: right;"">127,520</td>","<td style=""text-align: right;"">5,612.8</td>","<td style=""text-align: right;"">9,793.5</td>","<td>1,635</td>",/system/179423
76,Saudi Arabia,Shaheen II, Cray/HPE,"<td style=""text-align: right;"">196,608</td>","<td style=""text-align: right;"">5,537.0</td>","<td style=""text-align: right;"">7,235.2</td>","<td>2,834</td>",/system/178515
77,United States,Electra, HPE,"<td style=""text-align: right;"">124,416</td>","<td style=""text-align: right;"">5,444.6</td>","<td style=""text-align: right;"">8,316.5</td>","<td>1,686</td>",/system/179589
78,Germany,Raven, Lenovo,"<td style=""text-align: right;"">114,624</td>","<td style=""text-align: right;"">5,416.0</td>","<td style=""text-align: right;"">8,803.1</td>",<td></td>,/system/179913
79,Finland,MAHTI, Atos,"<td style=""text-align: right;"">169,728</td>","<td style=""text-align: right;"">5,388.5</td>","<td style=""text-align: right;"">7,060.7</td>","<td>1,070</td>",/system/179855
80,France,Pangea, HPE,"<td style=""text-align: right;"">220,800</td>","<td style=""text-align: right;"">5,283.1</td>","<td style=""text-align: right;"">6,712.3</td>","<td>4,150</td>",/system/178071
81,Sweden,Berzelius, Atos,"<td style=""text-align: right;"">59,520</td>","<td style=""text-align: right;"">5,253.0</td>","<td style=""text-align: right;"">9,636.5</td>",<td></td>,/system/179953
82,United States,TX-GAIA (Green AI Accelerator), HPE,"<td style=""text-align: right;"">88,400</td>","<td style=""text-align: right;"">5,161.0</td>","<td style=""text-align: right;"">6,981.5</td>","<td>1,436</td>",/system/179603
83,United States,BioHive-1, Nvidia,"<td style=""text-align: right;"">39,680</td>","<td style=""text-align: right;"">4,902.0</td>","<td style=""text-align: right;"">5,709.4</td>",<td></td>,/system/179939
84,Japan,Flow Type II subsystem, Fujitsu,"<td style=""text-align: right;"">79,560</td>","<td style=""text-align: right;"">4,880.5</td>","<td style=""text-align: right;"">7,519.3</td>",<td></td>,/system/179897
85,United States,Eagle, HPE,"<td style=""text-align: right;"">75,600</td>","<td style=""text-align: right;"">4,850.7</td>","<td style=""text-align: right;"">7,257.6</td>",<td></td>,/system/179598
86,United States,Cheyenne, HPE,"<td style=""text-align: right;"">144,900</td>","<td style=""text-align: right;"">4,788.2</td>","<td style=""text-align: right;"">5,332.3</td>","<td>1,727</td>",/system/178965
87,Norway,Betzy, Atos,"<td style=""text-align: right;"">172,032</td>","<td style=""text-align: right;"">4,724.8</td>","<td style=""text-align: right;"">6,193.1</td>",<td></td>,/system/179861
88,India,PARAM Siddhi-AI, Atos,"<td style=""text-align: right;"">41,664</td>","<td style=""text-align: right;"">4,619.0</td>","<td style=""text-align: right;"">5,267.1</td>",<td></td>,/system/179901
89,Japan,ITO - Subsystem A, Fujitsu,"<td style=""text-align: right;"">72,000</td>","<td style=""text-align: right;"">4,540.7</td>","<td style=""text-align: right;"">6,912.0</td>",<td></td>,/system/179429
90,Bulgaria,Discoverer, Atos,"<td style=""text-align: right;"">144,384</td>","<td style=""text-align: right;"">4,518.9</td>","<td style=""text-align: right;"">5,942.0</td>",<td></td>,/system/179948
91,France,Jean Zay, HPE,"<td style=""text-align: right;"">93,960</td>","<td style=""text-align: right;"">4,478.0</td>","<td style=""text-align: right;"">7,345.6</td>",<td></td>,/system/179692
92,Japan,Wisteria/BDEC-01 (Aquarius), Fujitsu,"<td style=""text-align: right;"">42,120</td>","<td style=""text-align: right;"">4,425.0</td>","<td style=""text-align: right;"">7,268.8</td>",<td>184</td>,/system/179963
93,Brazil,Atlas, Atos,"<td style=""text-align: right;"">91,936</td>","<td style=""text-align: right;"">4,376.0</td>","<td style=""text-align: right;"">8,848.5</td>",<td>547</td>,/system/179854
94,China,Advanced Computing System(PreE), Sugon,"<td style=""text-align: right;"">163,840</td>","<td style=""text-align: right;"">4,325.0</td>","<td style=""text-align: right;"">6,134.2</td>",<td>380</td>,/system/179593
95,France,CRONOS, Atos,"<td style=""text-align: right;"">81,600</td>","<td style=""text-align: right;"">4,299.3</td>","<td style=""text-align: right;"">7,136.9</td>","<td>1,226</td>",/system/179899
96,Japan,Oakbridge-CX, Fujitsu,"<td style=""text-align: right;"">76,608</td>","<td style=""text-align: right;"">4,289.9</td>","<td style=""text-align: right;"">6,618.9</td>",<td>845</td>,/system/179606
97,United States,SNL/NNSA CTS-1 Manzano," Penguin Computing, Inc.","<td style=""text-align: right;"">71,424</td>","<td style=""text-align: right;"">4,281.0</td>","<td style=""text-align: right;"">6,628.1</td>",<td>960</td>,/system/179907
98,Japan,Apollo 6500 XL270d Gen10, HPE,"<td style=""text-align: right;"">70,416</td>","<td style=""text-align: right;"">4,128.0</td>","<td style=""text-align: right;"">5,783.8</td>",<td></td>,/system/179698
99,United Kingdom,Wilkes-3, DELL EMC,"<td style=""text-align: right;"">44,800</td>","<td style=""text-align: right;"">4,124.0</td>","<td style=""text-align: right;"">6,641.4</td>",<td>147</td>,/system/179930
