,Country,Name,Manufacturer,cores,Rmax,Rpeak,Power,link
0,United States,Software Company (M) A26, Lenovo,"<td style=""text-align: right;"">57,600</td>","<td style=""text-align: right;"">1,649.1</td>","<td style=""text-align: right;"">2,119.7</td>",<td></td>,/system/179446
1,United States,Lenovo C1040, Lenovo,"<td style=""text-align: right;"">57,600</td>","<td style=""text-align: right;"">1,649.1</td>","<td style=""text-align: right;"">2,119.7</td>",<td></td>,/system/179463
2,United States,Lenovo C1040, Lenovo,"<td style=""text-align: right;"">57,600</td>","<td style=""text-align: right;"">1,649.1</td>","<td style=""text-align: right;"">2,119.7</td>",<td></td>,/system/179464
3,United States,Lenovo C1040, Lenovo,"<td style=""text-align: right;"">57,600</td>","<td style=""text-align: right;"">1,649.1</td>","<td style=""text-align: right;"">2,119.7</td>",<td></td>,/system/179465
4,United States,Lenovo C1040, Lenovo,"<td style=""text-align: right;"">57,600</td>","<td style=""text-align: right;"">1,649.1</td>","<td style=""text-align: right;"">2,119.7</td>",<td></td>,/system/179466
5,United States,Lenovo C1040, Lenovo,"<td style=""text-align: right;"">57,600</td>","<td style=""text-align: right;"">1,649.1</td>","<td style=""text-align: right;"">2,119.7</td>",<td></td>,/system/179467
6,United States,Lenovo C1040, Lenovo,"<td style=""text-align: right;"">57,600</td>","<td style=""text-align: right;"">1,649.1</td>","<td style=""text-align: right;"">2,119.7</td>",<td></td>,/system/179468
7,United States,Lenovo C1040, Lenovo,"<td style=""text-align: right;"">57,600</td>","<td style=""text-align: right;"">1,649.1</td>","<td style=""text-align: right;"">2,119.7</td>",<td></td>,/system/179469
8,United States,Lenovo C1040, Lenovo,"<td style=""text-align: right;"">57,600</td>","<td style=""text-align: right;"">1,649.1</td>","<td style=""text-align: right;"">2,119.7</td>",<td></td>,/system/179470
9,United States,Lenovo C1040, Lenovo,"<td style=""text-align: right;"">57,600</td>","<td style=""text-align: right;"">1,649.1</td>","<td style=""text-align: right;"">2,119.7</td>",<td></td>,/system/179471
10,United States,Lenovo C1040, Lenovo,"<td style=""text-align: right;"">57,600</td>","<td style=""text-align: right;"">1,649.1</td>","<td style=""text-align: right;"">2,119.7</td>",<td></td>,/system/179472
11,United States,Software Company (M) A38, Lenovo,"<td style=""text-align: right;"">57,600</td>","<td style=""text-align: right;"">1,649.1</td>","<td style=""text-align: right;"">2,119.7</td>",<td></td>,/system/179625
12,United States,Software Company (M) A37, Lenovo,"<td style=""text-align: right;"">57,600</td>","<td style=""text-align: right;"">1,649.1</td>","<td style=""text-align: right;"">2,119.7</td>",<td></td>,/system/179626
