,Country,Name,Manufacturer,cores,Rmax,Rpeak,Power,link
0,France,JOLIOT-CURIE SKL, Atos,"<td style=""text-align: right;"">79,488</td>","<td style=""text-align: right;"">4,065.6</td>","<td style=""text-align: right;"">6,635.5</td>",<td>917</td>,/system/179411
1,United States,Abel, Cray/HPE,"<td style=""text-align: right;"">145,920</td>","<td style=""text-align: right;"">4,042.5</td>","<td style=""text-align: right;"">5,369.9</td>","<td>1,800</td>",/system/178556
2,United Kingdom,Cray XC40, Cray/HPE,"<td style=""text-align: right;"">126,468</td>","<td style=""text-align: right;"">3,944.7</td>","<td style=""text-align: right;"">4,249.3</td>","<td>1,897</td>",/system/178431
3,United Kingdom,Cray XC40, Cray/HPE,"<td style=""text-align: right;"">126,468</td>","<td style=""text-align: right;"">3,944.7</td>","<td style=""text-align: right;"">4,249.3</td>","<td>1,897</td>",/system/178749
4,Germany,SX-Aurora TSUBASA A412-8, NEC,"<td style=""text-align: right;"">18,688</td>","<td style=""text-align: right;"">3,870.1</td>","<td style=""text-align: right;"">5,605.6</td>",<td>648</td>,/system/179928
5,Slovenia,VEGA HPC CPU, Atos,"<td style=""text-align: right;"">122,880</td>","<td style=""text-align: right;"">3,822.0</td>","<td style=""text-align: right;"">5,367.0</td>",<td></td>,/system/179936
6,India,Pratyush, Cray/HPE,"<td style=""text-align: right;"">119,232</td>","<td style=""text-align: right;"">3,763.9</td>","<td style=""text-align: right;"">4,006.2</td>","<td>1,353</td>",/system/179416
7,Japan,Apollo 6500 XL270d Gen10, HPE,"<td style=""text-align: right;"">65,208</td>","<td style=""text-align: right;"">3,712.0</td>","<td style=""text-align: right;"">5,365.1</td>",<td></td>,/system/179696
8,United States,LLNL Ruby, Supermicro,"<td style=""text-align: right;"">85,568</td>","<td style=""text-align: right;"">3,700.2</td>","<td style=""text-align: right;"">6,024.0</td>",<td></td>,/system/179866
9,United States,Orion, DELL EMC,"<td style=""text-align: right;"">70,560</td>","<td style=""text-align: right;"">3,665.7</td>","<td style=""text-align: right;"">5,419.0</td>",<td></td>,/system/179690
10,Brazil,IARA, Nvidia,"<td style=""text-align: right;"">24,800</td>","<td style=""text-align: right;"">3,657.0</td>","<td style=""text-align: right;"">4,130.4</td>",<td></td>,/system/179931
11,United States,Joule 2.0, HPE,"<td style=""text-align: right;"">86,400</td>","<td style=""text-align: right;"">3,608.6</td>","<td style=""text-align: right;"">5,750.8</td>",<td></td>,/system/179599
12,Canada,Niagara, Lenovo,"<td style=""text-align: right;"">80,640</td>","<td style=""text-align: right;"">3,599.7</td>","<td style=""text-align: right;"">6,253.1</td>",<td>919</td>,/system/179408
13,United States,Cray CS-Storm, Cray/HPE,"<td style=""text-align: right;"">72,800</td>","<td style=""text-align: right;"">3,577.0</td>","<td style=""text-align: right;"">6,131.8</td>","<td>1,499</td>",/system/178445
14,United States,Cray CS-Storm, Cray/HPE,"<td style=""text-align: right;"">72,800</td>","<td style=""text-align: right;"">3,577.0</td>","<td style=""text-align: right;"">6,131.8</td>","<td>1,499</td>",/system/178519
15,Poland,Altair," Huawei Technologies Co., Ltd.","<td style=""text-align: right;"">63,360</td>","<td style=""text-align: right;"">3,533.6</td>","<td style=""text-align: right;"">5,879.8</td>",<td>829</td>,/system/179903
16,Saudi Arabia,Unizah-II, HPE,"<td style=""text-align: right;"">85,560</td>","<td style=""text-align: right;"">3,487.9</td>","<td style=""text-align: right;"">6,844.8</td>",<td></td>,/system/179884
17,Japan,Ohtaka, DELL EMC,"<td style=""text-align: right;"">215,040</td>","<td style=""text-align: right;"">3,486.1</td>","<td style=""text-align: right;"">6,881.3</td>",<td></td>,/system/179882
18,Italy,davinci-1, Atos,"<td style=""text-align: right;"">38,400</td>","<td style=""text-align: right;"">3,449.0</td>","<td style=""text-align: right;"">6,412.0</td>",<td></td>,/system/179877
19,Canada,Cedar (GPU), ACTION,"<td style=""text-align: right;"">67,584</td>","<td style=""text-align: right;"">3,371.0</td>","<td style=""text-align: right;"">5,834.4</td>",<td>310</td>,/system/179859
20,United States,Topaz, HPE,"<td style=""text-align: right;"">124,200</td>","<td style=""text-align: right;"">3,318.9</td>","<td style=""text-align: right;"">4,570.6</td>","<td>5,175</td>",/system/178523
21,United States,NVIDIA DGX-1/Relion 2904GT, Self-made,"<td style=""text-align: right;"">60,512</td>","<td style=""text-align: right;"">3,307.0</td>","<td style=""text-align: right;"">4,896.5</td>",<td>350</td>,/system/179068
22,United States,DGX Saturn V, Nvidia,"<td style=""text-align: right;"">60,512</td>","<td style=""text-align: right;"">3,307.0</td>","<td style=""text-align: right;"">4,896.5</td>",<td>350</td>,/system/178928
23,Germany,SX-Aurora TSUBASA A412-8, NEC,"<td style=""text-align: right;"">14,336</td>","<td style=""text-align: right;"">3,250.4</td>","<td style=""text-align: right;"">4,282.1</td>",<td>565</td>,/system/179973
24,United Kingdom,Damson, Atos,"<td style=""text-align: right;"">113,832</td>","<td style=""text-align: right;"">3,243.4</td>","<td style=""text-align: right;"">3,791.6</td>","<td>1,134</td>",/system/179409
25,United States,LLNL/NNSA CTS-1 MAGMA," Penguin Computing, Inc.","<td style=""text-align: right;"">62,400</td>","<td style=""text-align: right;"">3,241.2</td>","<td style=""text-align: right;"">4,592.6</td>",<td>887</td>,/system/179774
26,United States,Mustang, HPE,"<td style=""text-align: right;"">55,296</td>","<td style=""text-align: right;"">3,221.4</td>","<td style=""text-align: right;"">4,777.6</td>",<td></td>,/system/179426
27,Italy,HPC2, IBM,"<td style=""text-align: right;"">72,000</td>","<td style=""text-align: right;"">3,188.0</td>","<td style=""text-align: right;"">4,605.0</td>","<td>1,227</td>",/system/178425
28,Brazil,Fênix, Atos,"<td style=""text-align: right;"">60,480</td>","<td style=""text-align: right;"">3,161.0</td>","<td style=""text-align: right;"">5,371.8</td>",<td>390</td>,/system/179681
29,Morocco,Toubkal, DELL EMC,"<td style=""text-align: right;"">71,232</td>","<td style=""text-align: right;"">3,158.1</td>","<td style=""text-align: right;"">5,014.7</td>",<td></td>,/system/179908
30,Germany,Lichtenberg II (Phase 1), MEGWARE,"<td style=""text-align: right;"">59,136</td>","<td style=""text-align: right;"">3,148.4</td>","<td style=""text-align: right;"">4,352.4</td>",<td>690</td>,/system/179857
31,United States,Cray XC30, Cray/HPE,"<td style=""text-align: right;"">225,984</td>","<td style=""text-align: right;"">3,143.5</td>","<td style=""text-align: right;"">4,881.3</td>","<td>6,328</td>",/system/178432
32,United States,Thunder, HPE,"<td style=""text-align: right;"">152,692</td>","<td style=""text-align: right;"">3,126.2</td>","<td style=""text-align: right;"">5,610.5</td>","<td>4,820</td>",/system/178524
33,Slovenia,VEGA HPC GPU, Atos,"<td style=""text-align: right;"">33,600</td>","<td style=""text-align: right;"">3,096.0</td>","<td style=""text-align: right;"">4,680.0</td>",<td></td>,/system/179937
34,China,Lenovo HR650x, Lenovo,"<td style=""text-align: right;"">76,000</td>","<td style=""text-align: right;"">3,088.6</td>","<td style=""text-align: right;"">6,080.0</td>",<td></td>,/system/179750
35,Switzerland,Alps, HPE,"<td style=""text-align: right;"">128,000</td>","<td style=""text-align: right;"">3,088.6</td>","<td style=""text-align: right;"">4,608.0</td>",<td>638</td>,/system/179900
36,Japan,Numerical Materials Simulator, HPE,"<td style=""text-align: right;"">53,568</td>","<td style=""text-align: right;"">3,082.1</td>","<td style=""text-align: right;"">4,971.1</td>",<td>691</td>,/system/179847
37,United States,Hera, Cray/HPE,"<td style=""text-align: right;"">63,840</td>","<td style=""text-align: right;"">3,080.8</td>","<td style=""text-align: right;"">4,884.5</td>",<td></td>,/system/179864
38,Japan,Camphor 2, Cray/HPE,"<td style=""text-align: right;"">122,400</td>","<td style=""text-align: right;"">3,057.3</td>","<td style=""text-align: right;"">5,483.5</td>",<td>748</td>,/system/178927
39,France,Jean Zay, HPE,"<td style=""text-align: right;"">61,120</td>","<td style=""text-align: right;"">3,054.3</td>","<td style=""text-align: right;"">4,867.2</td>",<td></td>,/system/179699
40,Germany,Mistral, Atos,"<td style=""text-align: right;"">99,072</td>","<td style=""text-align: right;"">3,010.7</td>","<td style=""text-align: right;"">3,962.9</td>","<td>1,116</td>",/system/178567
41,China,Lenovo HR650x, Lenovo,"<td style=""text-align: right;"">73,600</td>","<td style=""text-align: right;"">2,994.0</td>","<td style=""text-align: right;"">5,888.0</td>",<td></td>,/system/179746
42,Sweden,Tetralith, ClusterVision / Hammer,"<td style=""text-align: right;"">64,512</td>","<td style=""text-align: right;"">2,969.2</td>","<td style=""text-align: right;"">4,335.2</td>",<td></td>,/system/179576
43,China,Lenovo HR650x, Lenovo,"<td style=""text-align: right;"">72,000</td>","<td style=""text-align: right;"">2,931.8</td>","<td style=""text-align: right;"">5,760.0</td>",<td></td>,/system/179749
44,United States,Jean, Liqid,"<td style=""text-align: right;"">55,296</td>","<td style=""text-align: right;"">2,917.6</td>","<td style=""text-align: right;"">4,069.8</td>",<td></td>,/system/179951
45,China,Inspur TS10000 HPC Server, Inspur,"<td style=""text-align: right;"">49,056</td>","<td style=""text-align: right;"">2,889.4</td>","<td style=""text-align: right;"">4,709.4</td>",<td></td>,/system/179873
46,China,ThinkSystem HR650X, Lenovo,"<td style=""text-align: right;"">93,600</td>","<td style=""text-align: right;"">2,873.4</td>","<td style=""text-align: right;"">6,289.9</td>",<td></td>,/system/179916
47,China,ThinkSystem SR650, Lenovo,"<td style=""text-align: right;"">94,160</td>","<td style=""text-align: right;"">2,867.6</td>","<td style=""text-align: right;"">6,327.6</td>",<td></td>,/system/179887
48,Czechia,"Karolina, CPU partition", HPE,"<td style=""text-align: right;"">92,160</td>","<td style=""text-align: right;"">2,837.4</td>","<td style=""text-align: right;"">3,833.9</td>",<td>503</td>,/system/179926
49,United States,Freeman, HPE,"<td style=""text-align: right;"">79,104</td>","<td style=""text-align: right;"">2,829.0</td>","<td style=""text-align: right;"">3,670.4</td>",<td></td>,/system/179843
50,Germany,SuperMUC Phase 2, Lenovo/IBM,"<td style=""text-align: right;"">86,016</td>","<td style=""text-align: right;"">2,813.6</td>","<td style=""text-align: right;"">3,578.3</td>","<td>1,481</td>",/system/178544
51,United Kingdom,Cray XC40, Cray/HPE,"<td style=""text-align: right;"">89,856</td>","<td style=""text-align: right;"">2,801.8</td>","<td style=""text-align: right;"">3,019.2</td>","<td>1,348</td>",/system/178751
52,United Kingdom,Cray XC40, Cray/HPE,"<td style=""text-align: right;"">89,856</td>","<td style=""text-align: right;"">2,801.8</td>","<td style=""text-align: right;"">3,019.2</td>","<td>1,348</td>",/system/178752
53,Japan,JFRS-1, Cray/HPE,"<td style=""text-align: right;"">54,560</td>","<td style=""text-align: right;"">2,787.1</td>","<td style=""text-align: right;"">4,190.2</td>",<td>698</td>,/system/179417
54,China,Lenovo HR650x, Lenovo,"<td style=""text-align: right;"">68,000</td>","<td style=""text-align: right;"">2,779.8</td>","<td style=""text-align: right;"">5,440.0</td>",<td></td>,/system/179748
55,China,ThinkSystem HR650X, Lenovo,"<td style=""text-align: right;"">72,960</td>","<td style=""text-align: right;"">2,774.2</td>","<td style=""text-align: right;"">5,836.8</td>",<td></td>,/system/179923
56,France,Spartan3, Atos,"<td style=""text-align: right;"">92,160</td>","<td style=""text-align: right;"">2,751.0</td>","<td style=""text-align: right;"">3,612.7</td>",<td></td>,/system/179935
57,China,ZZ2, Lenovo,"<td style=""text-align: right;"">67,200</td>","<td style=""text-align: right;"">2,749.3</td>","<td style=""text-align: right;"">5,376.0</td>",<td></td>,/system/179898
58,China,ThinkSystem SR650, Lenovo,"<td style=""text-align: right;"">66,400</td>","<td style=""text-align: right;"">2,746.3</td>","<td style=""text-align: right;"">5,312.0</td>",<td></td>,/system/179810
59,China,ThinkSystem SR650, Lenovo,"<td style=""text-align: right;"">59,976</td>","<td style=""text-align: right;"">2,744.8</td>","<td style=""text-align: right;"">5,354.9</td>",<td></td>,/system/179742
60,China,ThinkSystem HR650X, Lenovo,"<td style=""text-align: right;"">72,000</td>","<td style=""text-align: right;"">2,742.9</td>","<td style=""text-align: right;"">5,760.0</td>",<td></td>,/system/179922
61,Austria,VSC-4, Lenovo,"<td style=""text-align: right;"">37,920</td>","<td style=""text-align: right;"">2,726.1</td>","<td style=""text-align: right;"">3,761.7</td>",<td></td>,/system/179697
62,United States,SNL/NNSA CTS-1 Attaway," Penguin Computing, Inc.","<td style=""text-align: right;"">52,920</td>","<td style=""text-align: right;"">2,724.5</td>","<td style=""text-align: right;"">3,894.9</td>",<td>750</td>,/system/179777
63,China,ZZ3, Lenovo,"<td style=""text-align: right;"">66,400</td>","<td style=""text-align: right;"">2,721.3</td>","<td style=""text-align: right;"">5,312.0</td>",<td></td>,/system/179888
