,Country,Name,Manufacturer,cores,Rmax,Rpeak,Power,link
0,China,B1, Lenovo,"<td style=""text-align: right;"">60,000</td>","<td style=""text-align: right;"">2,462.4</td>","<td style=""text-align: right;"">4,800.0</td>",<td></td>,/system/179658
1,United States,Centennial, HPE,"<td style=""text-align: right;"">73,920</td>","<td style=""text-align: right;"">2,443.7</td>","<td style=""text-align: right;"">2,602.0</td>",<td>835</td>,/system/179105
2,China,PAI-ASystem, Sugon,"<td style=""text-align: right;"">48,128</td>","<td style=""text-align: right;"">2,435.0</td>","<td style=""text-align: right;"">4,004.2</td>",<td>740</td>,/system/179425
3,China,C1, Lenovo,"<td style=""text-align: right;"">59,200</td>","<td style=""text-align: right;"">2,433.8</td>","<td style=""text-align: right;"">4,736.0</td>",<td></td>,/system/179657
4,United States,Big Red 200, HPE,"<td style=""text-align: right;"">84,480</td>","<td style=""text-align: right;"">2,431.2</td>","<td style=""text-align: right;"">3,041.3</td>",<td></td>,/system/179949
5,China,ThinkSystem SR590, Lenovo,"<td style=""text-align: right;"">115,200</td>","<td style=""text-align: right;"">2,429.2</td>","<td style=""text-align: right;"">4,239.4</td>",<td></td>,/system/179820
6,China,D1, Lenovo,"<td style=""text-align: right;"">58,800</td>","<td style=""text-align: right;"">2,421.6</td>","<td style=""text-align: right;"">4,704.0</td>",<td></td>,/system/179656
7,China,ThinkSystem SR590, Lenovo,"<td style=""text-align: right;"">113,600</td>","<td style=""text-align: right;"">2,399.6</td>","<td style=""text-align: right;"">4,180.5</td>",<td></td>,/system/179816
8,South Korea,Nuri, Cray/HPE,"<td style=""text-align: right;"">69,600</td>","<td style=""text-align: right;"">2,395.7</td>","<td style=""text-align: right;"">2,895.4</td>","<td>1,359</td>",/system/178611
9,South Korea,Miri, Cray/HPE,"<td style=""text-align: right;"">69,600</td>","<td style=""text-align: right;"">2,395.7</td>","<td style=""text-align: right;"">2,895.4</td>","<td>1,359</td>",/system/178612
10,China,E1, Lenovo,"<td style=""text-align: right;"">58,000</td>","<td style=""text-align: right;"">2,392.4</td>","<td style=""text-align: right;"">4,640.0</td>",<td></td>,/system/179655
11,China,ThinkSystem HR650X, Lenovo,"<td style=""text-align: right;"">58,560</td>","<td style=""text-align: right;"">2,379.9</td>","<td style=""text-align: right;"">4,684.8</td>",<td></td>,/system/179814
12,China,ThinkSystem SR590, Lenovo,"<td style=""text-align: right;"">112,000</td>","<td style=""text-align: right;"">2,374.0</td>","<td style=""text-align: right;"">4,121.6</td>",<td></td>,/system/179817
13,United States,NVIDIA DGX SuperPOD, Nvidia,"<td style=""text-align: right;"">19,840</td>","<td style=""text-align: right;"">2,356.0</td>","<td style=""text-align: right;"">2,812.8</td>",<td>90</td>,/system/179910
14,China,ZZ1, Lenovo,"<td style=""text-align: right;"">153,600</td>","<td style=""text-align: right;"">2,354.9</td>","<td style=""text-align: right;"">10,321.9</td>",<td></td>,/system/179886
15,Poland,Ares," Huawei Technologies Co., Ltd.","<td style=""text-align: right;"">37,824</td>","<td style=""text-align: right;"">2,338.8</td>","<td style=""text-align: right;"">3,510.1</td>",<td>487</td>,/system/179958
16,China,Inspur NF5468M5, Inspur,"<td style=""text-align: right;"">48,160</td>","<td style=""text-align: right;"">2,336.0</td>","<td style=""text-align: right;"">4,368.0</td>",<td></td>,/system/179821
