,Country,Name,Manufacturer,cores,Rmax,Rpeak,Power,link
0,United States,Biowulf, HPE,"<td style=""text-align: right;"">66,304</td>","<td style=""text-align: right;"">1,966.1</td>","<td style=""text-align: right;"">2,491.4</td>",<td></td>,/system/179027
1,China,Sugon TC6000, Sugon,"<td style=""text-align: right;"">41,280</td>","<td style=""text-align: right;"">1,963.0</td>","<td style=""text-align: right;"">3,603.5</td>",<td>245</td>,/system/179783
2,China,Sugon TC6000, Sugon,"<td style=""text-align: right;"">47,600</td>","<td style=""text-align: right;"">1,955.0</td>","<td style=""text-align: right;"">3,960.3</td>",<td>650</td>,/system/179784
3,China,Sugon TC6000, Sugon,"<td style=""text-align: right;"">53,280</td>","<td style=""text-align: right;"">1,952.0</td>","<td style=""text-align: right;"">3,921.4</td>",<td>570</td>,/system/179786
4,China,Sugon TC6000, Sugon,"<td style=""text-align: right;"">58,112</td>","<td style=""text-align: right;"">1,934.0</td>","<td style=""text-align: right;"">3,905.1</td>",<td>630</td>,/system/179736
5,China,Inspur NF5468M5, Inspur,"<td style=""text-align: right;"">51,504</td>","<td style=""text-align: right;"">1,928.0</td>","<td style=""text-align: right;"">4,618.0</td>",<td></td>,/system/179839
6,China,CTcluster, Sugon,"<td style=""text-align: right;"">54,000</td>","<td style=""text-align: right;"">1,928.0</td>","<td style=""text-align: right;"">3,974.4</td>",<td>520</td>,/system/179535
7,China,Inspur TS10000, Inspur,"<td style=""text-align: right;"">40,320</td>","<td style=""text-align: right;"">1,921.0</td>","<td style=""text-align: right;"">3,520.5</td>",<td></td>,/system/179795
8,China,ThinkSystem SR650, Lenovo,"<td style=""text-align: right;"">57,200</td>","<td style=""text-align: right;"">1,914.6</td>","<td style=""text-align: right;"">3,660.8</td>",<td></td>,/system/179745
9,China,Huawei 2288H V5," Huawei Technologies Co., Ltd.","<td style=""text-align: right;"">49,680</td>","<td style=""text-align: right;"">1,914.4</td>","<td style=""text-align: right;"">4,292.4</td>",<td>733</td>,/system/179595
10,China,ThinkSystem SR650, Lenovo,"<td style=""text-align: right;"">86,400</td>","<td style=""text-align: right;"">1,905.5</td>","<td style=""text-align: right;"">3,179.5</td>",<td></td>,/system/179743
11,China,Sugon TC6000, Sugon,"<td style=""text-align: right;"">46,200</td>","<td style=""text-align: right;"">1,901.0</td>","<td style=""text-align: right;"">3,843.8</td>",<td>630</td>,/system/179734
12,Switzerland,Piz Daint Multicore, Cray/HPE,"<td style=""text-align: right;"">65,268</td>","<td style=""text-align: right;"">1,896.8</td>","<td style=""text-align: right;"">2,193.0</td>",<td>732</td>,/system/178451
13,China,Sugon TC6000, Sugon,"<td style=""text-align: right;"">56,800</td>","<td style=""text-align: right;"">1,896.0</td>","<td style=""text-align: right;"">3,817.0</td>",<td>625</td>,/system/179737
14,China,A1, Lenovo,"<td style=""text-align: right;"">47,040</td>","<td style=""text-align: right;"">1,882.6</td>","<td style=""text-align: right;"">3,612.7</td>",<td></td>,/system/179660
15,China,INSPUR SA5212M5, Inspur,"<td style=""text-align: right;"">173,680</td>","<td style=""text-align: right;"">1,872.0</td>","<td style=""text-align: right;"">15,162.4</td>",<td></td>,/system/179790
16,China,Inspur TS10000, Inspur,"<td style=""text-align: right;"">40,320</td>","<td style=""text-align: right;"">1,872.0</td>","<td style=""text-align: right;"">3,520.5</td>",<td></td>,/system/179791
17,France,Tera-1000-1, Atos,"<td style=""text-align: right;"">70,272</td>","<td style=""text-align: right;"">1,871.0</td>","<td style=""text-align: right;"">2,586.0</td>","<td>1,042</td>",/system/178790
18,Japan,HPE SGI 8600, HPE,"<td style=""text-align: right;"">28,240</td>","<td style=""text-align: right;"">1,870.7</td>","<td style=""text-align: right;"">2,801.4</td>",<td></td>,/system/179876
19,China,ThinkSystem SR650, Lenovo,"<td style=""text-align: right;"">44,000</td>","<td style=""text-align: right;"">1,861.4</td>","<td style=""text-align: right;"">3,520.0</td>",<td></td>,/system/179752
20,China,Inspur NF5468M5, Inspur,"<td style=""text-align: right;"">46,480</td>","<td style=""text-align: right;"">1,854.0</td>","<td style=""text-align: right;"">4,080.0</td>",<td></td>,/system/179793
21,China,Inspur TS10000, Inspur,"<td style=""text-align: right;"">37,440</td>","<td style=""text-align: right;"">1,853.0</td>","<td style=""text-align: right;"">3,432.0</td>",<td></td>,/system/179828
22,Brazil,Santos Dumont (SDumont), Atos,"<td style=""text-align: right;"">33,856</td>","<td style=""text-align: right;"">1,849.0</td>","<td style=""text-align: right;"">2,727.0</td>",<td></td>,/system/179704
23,United States,Phoenix," Penguin Computing, Inc.","<td style=""text-align: right;"">31,104</td>","<td style=""text-align: right;"">1,840.9</td>","<td style=""text-align: right;"">2,687.4</td>",<td></td>,/system/179906
24,China,bsystem, Sugon,"<td style=""text-align: right;"">55,040</td>","<td style=""text-align: right;"">1,838.0</td>","<td style=""text-align: right;"">3,698.7</td>",<td>600</td>,/system/179670
